date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:13:30	38402/38402	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:30%20GMT	https://kd1s.com/en	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en.html	(from https://kd1s.com/)
07:13:31	11549/11549	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:30%20GMT	https://kd1s.com/resetpassword	C:/Users/KaaJ/Downloads/kd1/kd1s.com/resetpassword.html	(from https://kd1s.com/)
07:13:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:13:30%20GMT	https://kd1s.com/ar/signup	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/signup	(from https://kd1s.com/)
07:13:31	13490/13490	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:13:31%20GMT	https://kd1s.com/signup	C:/Users/KaaJ/Downloads/kd1/kd1s.com/signup.html	(from https://kd1s.com/)
07:13:32	74815/74815	---M--	200	added ('OK')	image/jpeg	etag:%225f871f78-1243f%22	https://cdn.mypanel.link/56cc9e/qhf21fpryxikuqjr.jpg	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/qhf21fpryxikuqjr.jpg	(from https://kd1s.com/)
07:13:32	96976/96976	---M--	200	added ('OK')	image/jpeg	etag:%225f871f1c-17ad0%22	https://cdn.mypanel.link/56cc9e/3w4e1fompp5iexdq.jpg	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/3w4e1fompp5iexdq.jpg	(from https://kd1s.com/)
07:13:32	90170/90170	---M--	200	added ('OK')	image/jpeg	etag:%225f871f23-1603a%22	https://cdn.mypanel.link/56cc9e/0oks4813k1ixzylx.jpg	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/0oks4813k1ixzylx.jpg	(from https://kd1s.com/)
07:13:32	144901/144901	---M--	200	added ('OK')	image/jpeg	etag:%225f871f2d-23605%22	https://cdn.mypanel.link/56cc9e/s9wr3bpinm6sr75y.jpg	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/s9wr3bpinm6sr75y.jpg	(from https://kd1s.com/)
07:13:32	91818/91818	---M--	200	added ('OK')	image/jpeg	etag:%225f871f31-166aa%22	https://cdn.mypanel.link/56cc9e/pqc22equi5rbfga2.jpg	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/pqc22equi5rbfga2.jpg	(from https://kd1s.com/)
07:13:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:13:32%20GMT	https://kd1s.com/ar/services	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/services	(from https://kd1s.com/)
07:13:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:13:32%20GMT	https://kd1s.com/ar/faq	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/faq	(from https://kd1s.com/)
07:13:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:13:33%20GMT	https://kd1s.com/ar/terms	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/terms	(from https://kd1s.com/)
07:13:33	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3a85b8-17b8b%22	https://cdn.mypanel.link/libs/jquery/1.12.4/jquery.min.js	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/libs/jquery/1.12.4/jquery.min.js	(from https://kd1s.com/)
07:13:34	51599/51599	---MCZ	200	added ('OK')	application/javascript	etag:W/%226267b96b-c98f%22	https://cdn.mypanel.link/global/aknio8ec1fpphc0p.js	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/global/aknio8ec1fpphc0p.js	(from https://kd1s.com/)
07:13:34	38510/38510	---MCZ	200	added ('OK')	application/javascript	etag:W/%226267b96c-966e%22	https://cdn.mypanel.link/global/nfos6j9mo1on7ksz.js	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/global/nfos6j9mo1on7ksz.js	(from https://kd1s.com/)
07:13:34	19530/19530	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263840f4a-4c4a%22	https://cdn.mypanel.link/global/5u31ot3h1tuupjl9.js	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/global/5u31ot3h1tuupjl9.js	(from https://kd1s.com/)
07:13:34	283322/283322	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cdb6d-452ba%22	https://cdn.mypanel.link/global/6cpemo5rgp75dw40.js	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/global/6cpemo5rgp75dw40.js	(from https://kd1s.com/)
07:13:35	1040/1040	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f86e392-410%22	https://cdn.mypanel.link/56cc9e/36zs6mhbmx34wcg4.js	C:/Users/KaaJ/Downloads/kd1/cdn.mypanel.link/56cc9e/36zs6mhbmx34wcg4.js	(from https://kd1s.com/)
